Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Image,Link,Alcohol/Vol,Made In,Varietal,By,Release Date,Lat,Lon,Savings,Sugar Content (g/L),Category Name,Varietal Name,Segment
 Boutari Agiorgitiko Nemea,16.4,14.4,4.5,2,  750 ml bottle ,"Clear ruby red colour; floral,  berry herbs, spice and red plum aromas; extra dry, medium body; ripe berry and plum flavours, balanced acidity and ripe tannins.",3,https://aem.lcbo.com/content/dam/lcbo/products/1/7/2/1/172148.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/boutari-agiorgitiko-nemea-172148,13.00%," Peloponnese,   Greece ",1,Boutari,0,37.357286,22.353978,2,2,Red Wine,Agiorgitiko(St.George),0
 THALIA Red  Cabernet Sauvignon - Agiorgitiko,12.95,11.95,5,1,  750 ml bottle ,"The Greek island of Crete, where this winery is located, traces back to a 4000-year-old history of winemaking. This red blend is made with Agiorgitiko, a grape variety indigenous to the island. The result is a medium-bodied wine with notes of red berries, ripe cherries, and earthy spice. Pair with hearty roasts.",3,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/2/015285.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/thalia-syrah-kotsifali-15285,12.00%," Crete,   Greece ",2,Thalia,0,35.28008255,24.63884402,1,4,Red Wine,Agiorgitiko/Cabernet Sauvignon,0
 Paco & Lola Albari√±o,24.95,22.95,4.6,5,  750 ml bottle ,"This is a lively, zesty wine. Created by a co-operative of 428 growers that was formed in 2005, it displays fresh fig, cantelope, pineapple, with nutty and citrus notes. A good option as a sipper or for pairing with summer salads or seafood.",7,https://aem.lcbo.com/content/dam/lcbo/products/3/5/0/0/350041.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/paco-lola-albari-o-350041,12.50%," Rias Baixas,   Spain ",3,Paco & Lola,"  April†1,†2021  ",42.3533841,-7.8778072,2,2,White Wine,Alvarinho,4
 Masi Costasera Amarone Classico DOC,55,51,4.8,12,  750 ml bottle ,"Deep purple ruby colour; rich, ripe, dark fruit aromas and flavours with hints of licorice, toast and chocolate; full-bodied and smooth with a firm, long finish.",3,https://aem.lcbo.com/content/dam/lcbo/products/3/1/7/0/317057.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/masi-costasera-amarone-classico-doc-317057,15.00%," Veneto,   Italy ",4,Masi,0,45.6476663,11.8665254,4,8,Red Wine,Amarone,3
 Cesari Amarone Della Valpolicella Classico DOC,44,38,4,8,  750 ml bottle ,"Deep ruby colour; nuts, chocolate, licorice, raisins and spice aromas; dry, medium to full bodied; rich flavours of hazelnut chocolate, raisins and spice; long finish.",3,https://aem.lcbo.com/content/dam/lcbo/products/4/2/6/7/426718.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/cesari-amarone-della-valpolicella-classico-doc-426718,15.00%," Veneto,   Italy ",4,Cesari,0,45.6476663,11.8665254,6,5,Red Wine,Amarone,3
 Montresor Amarone Della Valpolicella DOC,37.5,32.5,5,1,  750 ml bottle ,"Dark ruby-red colour; licorice, red fruit, dried figs and raisins and spicy aromas and flavours; dry, medium bodied, with balanced acidity, ripe tannins and good length.",3,https://aem.lcbo.com/content/dam/lcbo/products/2/4/0/4/240416.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/montresor-amarone-della-valpolicella-doc-240416,15.00%," Veneto,   Italy ",4,Montresor,0,45.6476663,11.8665254,5,10,Red Wine,Amarone,0
 Trius Baco Noir VQA,17.95,15.95,4,2,  750 ml bottle ,"Situated on Niagara-on-the-Lake, Trius has been creating quality wines for decades. This wine is deep ruby, with lovely notes of plum, earthy beets, cherry, spice and a hint of new leather. It's full-bodied and smooth with a lengthy finish. Serve with saucy ribs or grated beets and goat cheese over Fettuccini Alfredo.",3,https://aem.lcbo.com/content/dam/lcbo/products/0/1/7/4/017472.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/trius-baco-noir-vqa-17472,12.00%," Ontario,   Canada ",5,Trius,0,50.000678,-86.000977,2,12,Red Wine,Baco Noir,0
 Bersano Costalunga Barbera D'Asti DOCG,17,14,4.6,11,  750 ml bottle ,"Bright garnet hue; spice, smoke and plum notes are evident on the nose; light earthy, smoky, plummy fruit flavours with light leather notes and good acidity.",3,https://aem.lcbo.com/content/dam/lcbo/products/3/4/8/6/348680.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/bersano-costalunga-barbera-d-asti-docg-348680,14.00%," Piedmont,   Italy ",6,Bersano,0,46.067065,8.378351,3,3,Red Wine,Barbera,0
 Georges Duboeuf Beaujolais AOC,22,19,4.5,2,  750 ml bottle ,Dark ruby colour; young berry fruit & cherry aromas; soft fruit flavour; easy drinking style.,3,https://aem.lcbo.com/content/dam/lcbo/products/2/1/2/4/212480.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/georges-duboeuf-beaujolais-aoc-212480,13.00%," Burgundy,   France ",7,Georges Duboeuf,0,47.328037,5.041244,3,3,Red Wine,Beaujolais,0
 Pasqua Passimento Rosso IGT,15.95,12.95,4.7,7,  750 ml bottle ,"Deep ruby red colour; intense aromas of smoke, licorice, coffee and hints of vanilla and spices. Flavours of smoke, diried fruit and spices, with soft tannins to finish.",3,https://aem.lcbo.com/content/dam/lcbo/products/1/4/1/9/141952.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/pasqua-passimento-rosso-igt-141952,14.00%," Veneto,   Italy ",8,Pasqua,0,45.6476663,11.8665254,3,11,Red Wine,Blend,0
