Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Image,Alcohol/Vol,Made In,Sugar Content,Varietal,By,Release Date,Lat,Lon,Savings
 Paul Mas Cabernet Sauvignon,14.95,12.95,N/A,(0),  750 ml bottle ,"Paul Mas vineyards are in the Languedoc region in the south of France. Garnet red with ruby hints, this Cabernet Sauvignon has intense aromas of red fruit, cocoa, tobacco, mint and spicy vanilla. Full-bodied with ripe fruit mid-palate and notes of cocoa and smoky spice on the finish. Pair with grilled meats and charcuterie.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/7/030749.jpg.thumb.1280.1280.jpg,0.135," Languedoc,   France ",5 g/L,Cabernet Sauvignon,N/A,N/A,47.218868,5.965036,2.0
 Blu Giovello Prosecco,18.00,15.50,4.4,(9),  750 ml bottle ,"The prosecco in the distinctive blue bottle. In the glass, it has bright aromas and flavours of white fruit - quince, starfruit, with a touch of nuts, honey and fresh pear. The palate is dry and refreshing with lively bubbles and Asian pear and tangy quince notes on the finish. Great on its own or paired with appetizers.",White Sparkling Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/8/5/3/085316.jpg.thumb.1280.1280.jpg,0.11,  Italy ,14 g/L,Prosecco,Blu Giovello,N/A,42.6384261,12.674297,2.5
 Aveleda Vinho Verde,15.00,14.00,4.8,(12),  750 ml bottle ,"Aveleda has been a family-owned business since the 1870s and vinho verde is their key focus. This one is pale lemon coloured with fresh lifted aromas of fresh bread, citrus, herbs and green plum and apple. Harmonious on the palate with balanced acidity and bright flavours that culminate in a zesty, slightly spritzy finish.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/0/5/3/005322.jpg.thumb.1280.1280.jpg,0.095," Vinho Verde,   Portugal ",14 g/L,Vinho Verde,Aveleda,N/A,41.06749979999999,-8.23726943712506,1.0
 Jacob's Creek Moscato Rosé,16.00,14.00,4.7,(17),  750 ml bottle ,"Jacob's Creek Moscato is a fresh and fragrant, low alcohol Australian rosé. It has aromas and flavours of ripe raspberry, strawberry and candied fruit with pear and sherbet notes. The palate is lightly sweet with a refreshing spritz and vibrant red berries on the finish. Sip on its own, with fresh fruit, soft cheese or BBQ.",Rose Wine,https://aem.lcbo.com/content/dam/lcbo/products/3/6/7/2/367276.jpg.thumb.1280.1280.jpg,0.075,  Australia ,70 g/L,Rose Wines,Jacob's Creek,N/A,-24.7761086,134.755,2.0
 Sandbanks Summer Rosé VQA,14.95,12.95,N/A,(0),  750 ml bottle ,"Established in Prince Edward County in 2001, Sandbanks Winery joined forces with Arterra Wines Canada in 2020. Their Summer Rosé bursts with strawberry, mango and watermelon notes. It is lightly fizzy with a touch of sweetness. Enjoy with grilled shrimp in a garlic butter sauce or baked Camembert with balsamic strawberries.",Rose Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/8/014867.jpg.thumb.1280.1280.jpg,0.11599999999999999," Ontario,   Canada ",27 g/L,Rosé,Sandbanks,N/A,50.000678,-86.000977,2.0
 Bask Cabernet Sauvignon,13.45,12.45,3.0,(6),  750 ml bottle ,"Low in sugar and high in flavour! Bask created this low-sugar wine to give you one less thing to worry about. Inviting aromas of blackcurrant, black cherry, toast and spice. Dry and full-bodied with subtle warming spices round out the finish. A perfect match for smoky grilled duck breast with peach BBQ sauce.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/7/027727.jpg.thumb.1280.1280.jpg,0.125,  Canada ,3 g/L,Cabernet Sauvignon,N/A,N/A,61.0666922,-107.991707,1.0
 Bread & Butter Cabernet Sauvignon,19.95,17.95,4.2,(48),  750 ml bottle ,"California has a world-class reputation for great cabernet sauvignon, and this rich example shows why. It brims with aromas of toast, nuts, dark fruit and chocolate that lead to flavours of ripe dark fruit and chocolate-covered plums and ends in a smooth finish with a hint of spice. Enjoy with grilled steak or on its own.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/4/7/6/647644.jpg.thumb.1280.1280.jpg,0.135," California,   United States ",8 g/L,Cabernet Sauvignon,Bread & Butter,N/A,36.7014631,-118.755997,2.0
 The Ned Sauvignon Blanc,17.10,14.10,3.5,(4),  750 ml bottle ,"The Ned is classic New Zealand-style sauvignon blanc. Clear pale lemon in colour; pronounced aromas of quince, citrus, herbs and spice; on the palate, extra-dry, with medium-minus acidity and medium-plus body; flavours of fresh quince, citrus and herbs with a mineral note.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/4/7/0/0/470070.jpg.thumb.1280.1280.jpg,0.13," Marlborough,   New Zealand ",5 g/L,Sauvignon Blanc,The Ned,N/A,-36.7846223,174.723989,3.0000000000000018
 Adobe Reserva Rosé Organic,13.95,11.95,4.8,(5),  750 ml bottle ,"A vibrant, mouth-watering, organic rosé from Chile. In the glass, it shows forward aromas and flavours of wild strawberries, cherry, melon and plum. The palate is medium-bodied and fresh with tart berry notes on the finish. Quite versatile. Enjoy as an aperitif or pair with seafood, pasta, sandwiches and chicken salad.",Rose Wine,https://aem.lcbo.com/content/dam/lcbo/products/2/7/4/3/274399.jpg.thumb.1280.1280.jpg,0.12,  Chile ,6 g/L,Rose Wines,Adobe,N/A,-31.7613365,-71.3187697,2.0
 Francis Coppola Diamond Collection Ivory Label Cabernet Sauvignon,24.95,22.95,4.8,(8),  750 ml bottle ,"Classically styled Cali Cab featuring cedar, prune, licorice, herbs and oak toast. It's dry and fruity, with supporting tannins and supple acidity. A crowd-pleasing wine. Try it with grilled stuffed peppers or alongside gourmet burgers with caramelized onions.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/5/2/1/0/521021.jpg.thumb.1280.1280.jpg,0.145," California,   United States ",5 g/L,Cabernet Sauvignon,Francis Coppola,"  April 1, 2022  ",36.7014631,-118.755997,2.0
